"account_uuid","product","premium","carrier_id","convert"
"6fd2a9c4-6ba0-48b7-8327-0a32d7f501f8","General_Liability",350,31,1
"f0dfea11-3d14-4811-a835-6f7e13d78c36","General_Liability",895,31,1
"c98f71a0-eeab-4001-9ade-d6fd69943d8f","General_Liability",1373.28,4,1
"6e551f84-a0872-40b4-ef6e9-06971c15f1","General_Liability",805,39,1
"d39e87d6-580f3-4516-81f85-559359ab05","CW_Special_Events",176,50,1
"56fbb5c0-1363e-c6f1-9eeb3-425573e068","General_Liability",1985,39,0
"d39e87d6-580f3-4516-81f85-559359ab05","Business_Owners_Policy_BOP",550,39,0
"d5806bb2-9e509-b08d-d7335-50dc8d70ac","General_Liability",749.24,39,1
"d96172c2-fdb5c-18ab-74463-368ce9f687","Business_Owners_Policy_BOP",902,39,1
"ecb37167-3f11-4357-aee3-d9174801597f","General_Liability",500,39,0
"65de904f-c753c-9f81-78a9b-15f6ba2f44","General_Liability",2029,39,0
"65de904f-c753c-9f81-78a9b-15f6ba2f44","General_Liability",616,60,1
"08a1d8c4-0caf8-2005-a0e44-c1d7010bc2","General_Liability",4231,39,1
"d7779234-be207-0669-4a4e8-7f271c63d9","Business_Owners_Policy_BOP",892,39,1
"b8de2d2d-20f63-c83b-189a5-ee97b2d216","General_Liability",936,39,1
"3879dbf7-15f39-2cba-8856e-fa7b319e06","Commercial_Auto",3713,53,1
"77717d24-4f626-ab8c-d5b11-1867eea700","CW_GL_and_E_O",1681.6,72,1
"80644d74-0c9da-c4df-f48b9-c27c493a42","General_Liability",350,60,0
"fb85bfc3-0d539-2a1f-fc8ef-694c8edb71","Commercial_Auto",13183,53,0
"6e3fe39e-044d-45c6-a923-3edf87355be2","General_Liability",250,21,0
"7c9758b5-0a64-4a1d-a7d6-ad4b53f28792","General_Liability",1082,39,0
"d1b62658-dc4a-4533-8a2b-4cadd1aeb157","General_Liability",371,39,1
"7c9758b5-0a64-4a1d-a7d6-ad4b53f28792","General_Liability",637,31,0
"d1b62658-dc4a-4533-8a2b-4cadd1aeb157","General_Liability",650,60,0
"3db7a8f5-763b3-4d3e-92b22-37dff1737c","General_Liability",650,60,1
"fa413b02-d0df-44b8-81fb-276892efd5bd","General_Liability",352.1,31,1
"0edabb9c-3362-4b71-a8ae-003b5d76f03e","General_Liability",1932.13,39,1
"d964f596-8839f-57a5-ab310-736a4bc29c","Business_Owners_Policy_BOP",506,60,1
"eb0e8a69-7f7c-4f01-9650-4a767c7a6c40","General_Liability",350,31,1
"eb0e8a69-7f7c-4f01-9650-4a767c7a6c40","General_Liability",500,39,0
"ebdad4be-f9b1-4ab3-a0dc-e57931c082c6","CW_Errors_Omissions_E_O",500,31,1
"1d2a3074-ebda-45c7-8244-cdb0e56d8f63","General_Liability",29.25,21,1
"33d056e9-3561-480a-8377-99ba7ce53aa8","General_Liability",1912,39,0
"d8b0d088-eb0f6-9147-0a50d-88c4263dd9","Business_Owners_Policy_BOP",369,22,1
"ac5ef336-11b3-4a3f-90f6-2642333d6d59","General_Liability",1038,39,1
"2e9fd908-2927-4241-8773-50efd937f7a6","General_Liability",500,39,1
"e4e3cd87-dc8a0-02b0-777c4-b5a8a89632","General_Liability",501,39,1
"59f4d9cc-257c-4854-8145-b9aa37ecddc7","General_Liability",500,31,1
"8fca47b1-41cfb-fa62-ca2f7-88e3761cbb","General_Liability",505,39,1
"1a4d4c0f-51f3a-f30d-875c7-12eae1febf","Business_Owners_Policy_BOP",500,60,1
"0465b08a-8266c-85bd-80f4b-3fdeaa0511","General_Liability",500,31,1
"2d4d43ea-40b8a-c177-1c66d-8422a15c01","CW_Directors_Officers_D_O",3400,73,1
"77abc392-963ae-9975-404a0-f1f7426816","Business_Owners_Policy_BOP",6332,29,1
"6448749b-62775-fdaa-1f9dd-9468bcf84e","CW_Professional_Liability",1684,31,1
"47659982-ffa5-42e5-8ba5-e64bc756c73e","General_Liability",1301.75,22,1
"d91d6e88-cc051-cbc8-1209a-f4b5c32650","Business_Owners_Policy_BOP",1997,29,1
"17fe9c95-5ee1c-1ca1-8218b-8d5e200c87","General_Liability",3010,56,1
"73987d6b-7830f-a859-cbb8e-3b92775757","Business_Owners_Policy_BOP",747.21,30,0
"982b3f77-bd033-dad4-5e812-7e968dfb99","CW_Directors_Officers_D_O",2304,27,1
"071d68b7-0cbaa-c076-470ed-14df57d5ff","General_Liability",576,39,1
"a1979b0b-780a8-dbd4-8f72a-08f97c3d51","Business_Owners_Policy_BOP",3343,30,1
"74020e89-0b0c-4cdb-bb68-64a2e707f03d","General_Liability",929,39,1
"2760c531-b565-4ec1-8254-34fdbb1be2f5","General_Liability",346,31,0
"f5c0f948-6f16-4a21-9954-9212898be29d","General_Liability",2521,39,1
"e0008ccd-fb30-4570-b26f-2a4ea8ea0d54","Workers_Compensation",1108.75,29,1
"d928da60-7b338-32ac-32905-a90f3854d9","General_Liability",1156,31,1
"47f16a8f-b78ab-f5b4-69969-b1d96ce987","Business_Owners_Policy_BOP",478.44,30,1
"6a6114b6-9fdbb-4baa-2611f-93a715165f","Workers_Compensation",1317,29,1
"4ed36f57-8ada-4da6-8451-cbd259027259","General_Liability",788,39,0
"434cec09-d5ce1-f577-1db0c-bcd99577bc","Business_Owners_Policy_BOP",500,39,0
"4ed36f57-8ada-4da6-8451-cbd259027259","General_Liability",650,60,1
"103b9b14-ea91-4dde-8d9e-07e3efc2c162","General_Liability",500,31,1
"434cec09-d5ce1-f577-1db0c-bcd99577bc","Business_Owners_Policy_BOP",500,60,1
"949ceaff-f70ab-ac76-34e32-7ad4e65f05","Workers_Compensation",1711,71,1
"434cec09-d5ce1-f577-1db0c-bcd99577bc","Business_Owners_Policy_BOP",500,60,0
"949ceaff-f70ab-ac76-34e32-7ad4e65f05","Commercial_Property",2024,39,0
"434cec09-d5ce1-f577-1db0c-bcd99577bc","Business_Owners_Policy_BOP",500,60,0
"015c7cdb-0047c-8b99-fa167-59cea812fe","Package",845,39,1
"ef594d9b-4b363-83fc-cdc64-7dc2639577","CW_Professional_Liability",723,31,1
"e62e3f4a-eef7a-a643-ae6b9-77c48ed809","General_Liability",500,39,1
"042bc818-e0bd1-d367-111c4-f1eeb8e649","Business_Owners_Policy_BOP",5512,39,0
"2c9b5305-d3d7-4bab-ac36-a9ba47bee949","CW_Professional_Liability",610,21,0
"7e17a15f-54949-b462-baf6c-7d52509839","Workers_Compensation",4092,39,0
"da94a3bf-495ba-26ce-ab63c-be1ae43528","CW_Directors_Officers_D_O",691,21,1
"c7b21a4d-21a4-4076-afba-2b8d0e6506d3","Business_Owners_Policy_BOP",1767,29,1
"2b206b53-e5345-b0bd-5379d-10af4e45d4","General_Liability",500,39,1
"42a94bc8-d83b-470c-90d3-7f3b5355ac61","General_Liability",399,39,1
"a3715b0d-db76e-f806-5b81f-0dc8d5549d","Workers_Compensation",4594,39,1
"389af76e-0576-42a4-9fe7-32b5bf508875","General_Liability",485,21,0
"a3715b0d-db76e-f806-5b81f-0dc8d5549d","General_Liability",2603,39,1
"9931629e-506f0-4de9-feb06-be87406a3d","Commercial_Auto",4438,53,1
"a3715b0d-db76e-f806-5b81f-0dc8d5549d","CW_Umbrella_Policy",1768,39,1
"6e185258-950c1-c7a0-f282c-a0e52fca7e","General_Liability",1103,39,0
"f7e893d8-63267-0e35-984ed-a56db81aa8","CW_Professional_Liability",2912.5,72,1
"dceee6c0-fb267-63bf-13392-5df3fb3d1d","General_Liability",516,9,0
"97e682f4-453b5-e7e8-24353-0ce6209063","General_Liability",500,31,1
"ae4b4e57-d268-4998-ac52-aeceadab6717","General_Liability",614,31,1
"ae4b4e57-d268-4998-ac52-aeceadab6717","General_Liability",495,39,0
"5a2fc33c-6397-4ca4-8ddf-e4f045122f6f","CW_Professional_Liability",400,31,1
"ae4b4e57-d268-4998-ac52-aeceadab6717","General_Liability",650,60,0
"d612be62-8b78e-2e57-2e21c-fc80fb441b","CW_Professional_Liability",585,31,1
"def6a3a8-aff9e-2fda-9d3b1-bed9ca627f","General_Liability",6352.35,72,1
"33d056e9-3561-480a-8377-99ba7ce53aa8","General_Liability",553,60,0
"4e1c1a8e-a3f7-4aca-9e64-8f5d0441be22","CW_Inland_Marine",169,9,1
"8850d8a1-8ec5-45d2-a563-a69293d97c69","General_Liability",873.5,39,1
"b136ac79-72e56-27db-dcfad-d9ac7c1f17","General_Liability",2995,39,1
"19b5facc-9b252-bca6-00562-223c3f9d38","General_Liability",526.13,39,1
"a96cf49f-b72f-48c8-a5ba-a413fe5d7b6e","Workers_Compensation",968,40,1
"b2ca6032-42c4f-a02e-dee57-7cdd03f347","CW_Professional_Liability",686.25,72,1
"2f922236-9311-4b17-abb0-72cba09594f6","Workers_Compensation",905,29,1
"f4a2aa7d-fdbd-4dd8-9ac6-905b49cd7bd4","General_Liability",500,31,1
"db684f8f-fe93-4fdb-930b-a59d08d97030","Business_Owners_Policy_BOP",505,60,0
"df4b4769-de8f2-8383-214de-f0079a85fd","General_Liability",505,1,0
"db684f8f-fe93-4fdb-930b-a59d08d97030","Business_Owners_Policy_BOP",505,60,1
"db684f8f-fe93-4fdb-930b-a59d08d97030","Business_Owners_Policy_BOP",504,60,0
"a12af256-87c2f-c16b-c90fb-a62f58b66d","Business_Owners_Policy_BOP",600,39,0
"a12af256-87c2f-c16b-c90fb-a62f58b66d","Business_Owners_Policy_BOP",500,60,0
"a12af256-87c2f-c16b-c90fb-a62f58b66d","Business_Owners_Policy_BOP",500,60,1
"a12af256-87c2f-c16b-c90fb-a62f58b66d","Business_Owners_Policy_BOP",500,60,0
"de246dd8-e5931-1ed8-fe97a-ac06ee9fc5","Business_Owners_Policy_BOP",1168,30,1
"22502576-4bb6-45d6-9839-ba0c11ce3e93","Commercial_Auto",7430,53,1
"e4c1f31a-2755-4bcd-b086-a8c7ea4d2a69","General_Liability",1083,39,1
"7bc55c08-535f-4076-b83c-95207349158e","General_Liability",424,39,1
"c7958535-2b67-4353-a1df-3f0b119917ca","CW_Professional_Liability",4101,21,1
"163cafce-b16fe-442a-8bd5c-64c82c5c83","General_Liability",1764,31,1
"2b09b7a5-e4a75-2952-81e05-0a9953b424","General_Liability",14828,39,0
"69d06f0d-27a32-0dba-63013-a1448b7c63","General_Liability",1347,39,0
"b5acec5e-c706-44d6-9cd8-90628585b53b","General_Liability",250,21,1
"d321dd0e-f429-493b-888b-c56cb1577490","General_Liability",880,31,1
"7aece7fe-85c61-afc1-1b823-65c0f80fdb","Business_Owners_Policy_BOP",501,60,1
"7aece7fe-85c61-afc1-1b823-65c0f80fdb","Business_Owners_Policy_BOP",501,60,0
"4f0781aa-612fa-f3f1-376df-6ef6a490dd","General_Liability",630,39,1
"dd8b326f-15f3-439d-b0db-886515a8df05","General_Liability",673,39,1
"00a9445d-246c-4bf7-84c5-0a4c7949f81e","Commercial_Auto",1883,53,1
"31cdb675-ebf6-4568-b10a-1d9b8d4efd95","CW_Errors_Omissions_E_O",4626.61,72,1
"a6a610b5-de06e-8f89-54735-964e5ca111","Business_Owners_Policy_BOP",1699,30,1
"2cd7460e-aafa-44d1-9890-3190c99ea68c","General_Liability",3165,9,0
"39716d29-1579-4436-a4fa-ceb338ba20d8","General_Liability",1401,39,1
"5226900a-d7cf2-6e2c-336b3-def24a8ef8","General_Liability",475,9,1
"c8a455c1-c2e33-a90e-b8a4c-df978f8281","General_Liability",500,31,1
"ab03e6ea-f9ec4-e028-29d14-1eee714349","General_Liability",1224,39,0
"0b71ae5a-6c44e-9426-0f271-6f86be6d1c","CW_Directors_Officers_D_O",665,21,0
"90252a33-c02ec-ff8b-fdae6-4c4e1e2b8c","General_Liability",400,39,1
"0b71ae5a-6c44e-9426-0f271-6f86be6d1c","CW_Employment_Practices_Liability_Insurance_EPLI",193,21,0
"4dc01cee-5cccc-605a-0e283-a88cb8aba7","Business_Owners_Policy_BOP",558,39,1
"d8733c18-6cb77-67b4-71e5a-0878b40f30","Business_Owners_Policy_BOP",724,30,0
"d8733c18-6cb77-67b4-71e5a-0878b40f30","Business_Owners_Policy_BOP",1499,39,0
"fa0285bc-bb307-5a69-6ce85-da4e7f42fa","Business_Owners_Policy_BOP",1706,39,0
"9946b9e1-df1a-42cb-914c-f753080bb03e","Workers_Compensation",7729,29,1
"389af76e-0576-42a4-9fe7-32b5bf508875","General_Liability",400,39,0
"e0008ccd-fb30-4570-b26f-2a4ea8ea0d54","Business_Owners_Policy_BOP",932.75,30,1
"e0008ccd-fb30-4570-b26f-2a4ea8ea0d54","General_Liability",626.5,39,0
"77a3c42b-e8ebf-1e73-8e242-075203c814","Business_Owners_Policy_BOP",475,30,0
"adf8f5f4-020dd-866a-d0dc0-917276b21e","General_Liability",1813,39,0
"adf8f5f4-020dd-866a-d0dc0-917276b21e","General_Liability",792,60,0
"f638a80e-74307-c5a4-0c643-0786b58627","CW_Professional_Liability",587,31,0
"3a514ac4-4c178-f5c0-30202-5aa524cd50","General_Liability",2467,39,0
"4745e967-3d3ee-efbe-10b0e-976e4ef6dc","Business_Owners_Policy_BOP",411,39,1
"7015898f-7db1-4c44-b5f4-72d7cc5cc0f1","Workers_Compensation",1783,29,0
"0496ac78-7755-4b10-8388-33e307095a03","CW_Professional_Liability",342.04,31,1
"8ee123fc-a771-47e6-a92a-9b69a4ba7f72","General_Liability",1091,39,0
"fa3e8297-46d5b-5053-7719a-f3e19d8d92","General_Liability",1215,39,0
"1e1d87fe-8eaec-879b-7936b-a1a6efae94","Business_Owners_Policy_BOP",500,39,1
"46bca222-21d2-4d00-94c1-d646e1db149c","General_Liability",789.58,4,1
"7821787c-aa22f-cf14-78e33-aad96e9314","Business_Owners_Policy_BOP",503,60,0
"7821787c-aa22f-cf14-78e33-aad96e9314","Business_Owners_Policy_BOP",503,60,1
"33d34573-5141-45ab-9c77-f0fa5c1d831e","Business_Owners_Policy_BOP",2777,29,1
"98c0a4a2-b2e07-f206-a3a00-d81b5f0b57","General_Liability",658.6,73,1
"d6c5495d-d4713-e735-3d4c1-110c571d35","CW_Professional_Liability",495,21,0
"8f5b73e9-9b683-1e6a-ff09f-88dcfb992b","CW_Professional_Liability",972,31,1
"7821787c-aa22f-cf14-78e33-aad96e9314","Business_Owners_Policy_BOP",503,60,0
"7821787c-aa22f-cf14-78e33-aad96e9314","General_Liability",352,60,0
"7821787c-aa22f-cf14-78e33-aad96e9314","CW_Professional_Liability",829.95,21,1
"0f72ed80-8657c-aceb-c8777-8cbabcc3e8","General_Liability",2577,39,0
"87047ec6-4ef1c-73fe-a7c25-53b93d54c2","CW_Disability_Insurance",145,29,1
"502f5cce-35679-2926-e712d-6afa9c0826","Workers_Compensation",788,24,1
"09bc739c-80510-d8d9-2bc7d-7bf8328a9c","General_Liability",525,31,0
"727744ba-8698-4186-88a4-803c9add63b3","Business_Owners_Policy_BOP",674,22,0
"082c3e6c-28050-615f-9cccb-20d4e05474","CW_Umbrella_Policy",800,22,1
"389af76e-0576-42a4-9fe7-32b5bf508875","General_Liability",346,31,1
"78e1b497-dbef-4025-8912-d98187ec212f","General_Liability",500,31,0
"517dc34a-e0f17-8422-44067-b80c4b2c35","Workers_Compensation",452,29,1
"d3523cf8-22f7-4791-87ed-a07ae290d383","Commercial_Auto",5073,53,1
"ecfb8894-4152b-5793-fd227-f9db88c7b4","General_Liability",500,31,1
"9ff87dd9-66edd-826c-49079-0c1bb58420","Commercial_Property",495,74,1
"7cda342c-7222-4f0d-841a-a20b728be187","CW_Errors_Omissions_E_O",500,31,1
"eede4aca-c812-4e82-9d59-593b48c9d6de","Business_Owners_Policy_BOP",500,39,0
"603e63a4-06dd-45d8-834c-d2c163166db8","CW_Professional_Liability",2017,22,1
"eede4aca-c812-4e82-9d59-593b48c9d6de","Business_Owners_Policy_BOP",500,60,0
"eede4aca-c812-4e82-9d59-593b48c9d6de","Business_Owners_Policy_BOP",500,60,0
"eede4aca-c812-4e82-9d59-593b48c9d6de","Business_Owners_Policy_BOP",500,60,0
"eede4aca-c812-4e82-9d59-593b48c9d6de","General_Liability",458,21,1
"217f8ed0-e6435-e11b-de764-0d55ba5426","General_Liability",6258,9,1
"86917f95-6064-4c00-9be6-dba61b9e50ad","General_Liability",500,73,1
"2d4d43ea-40b8a-c177-1c66d-8422a15c01","CW_Directors_Officers_D_O",6883.04,39,0
"5d717e16-0f573-021c-4d2cf-e45248baf9","Business_Owners_Policy_BOP",500,60,1
"36cf1238-987dc-23ca-1544b-9cd9c08593","Workers_Compensation",4985,39,1
"1d5dad44-d2964-2567-3eb61-16fe2a2661","Business_Owners_Policy_BOP",500,60,0
"e8d051af-736e3-89e6-c4006-0997a7a65b","Workers_Compensation",13552,39,1
"fe432ec8-580d3-e253-3aef2-38d9496cc3","General_Liability",328,39,1
"c2198ca7-f04c2-b405-135c7-e1604cd527","General_Liability",500,31,1
"425dad5b-9119-4bf3-b146-8cfa7afc9850","Business_Owners_Policy_BOP",523,60,0
"b0142783-31866-52ed-0cb0e-750b057253","General_Liability",500,31,1
"8bf6c646-f586-4cfb-9811-d46b9ef2ff22","Business_Owners_Policy_BOP",500,39,0
"9a8247e0-ed1f-4a5b-9e85-2af1ad478093","Commercial_Auto",16964,53,1
"8bf6c646-f586-4cfb-9811-d46b9ef2ff22","Business_Owners_Policy_BOP",500,60,0
"8bf6c646-f586-4cfb-9811-d46b9ef2ff22","Business_Owners_Policy_BOP",500,60,1
"8bf6c646-f586-4cfb-9811-d46b9ef2ff22","Business_Owners_Policy_BOP",500,60,0
