account_uuid,state,industry,subindustry,year_established,annual_revenue,total_payroll,business_structure,num_employees,region
7e1c2b05-d3bb7-4fe1-8dc76-db1ee5bf21,NC,Retail Trade,Jewelry Stores,2005.0,100000.0,0.0,Limited Liability Company,0.0,South
27c05eb7-3641-4f4b-a0c1-646fc2c1ac74,VA,Transportation and Warehousing,Couriers and Express Delivery Services,2018.0,50000.0,500.0,Limited Liability Company,1.0,South
6221a1e5-5a01-4fa8-bd57-d2161bec40e6,OH,Healthcare,All Other Miscellaneous Ambulatory Health Care Services,2016.0,150000.0,0.0,Limited Liability Company,0.0,Midwest
c2bdeb23-6e8c5-7665-268f7-169bb92918,OH,Retail Trade,Landscaping Services,1996.0,125000.0,0.0,Limited Liability Company,0.0,Midwest
98b888b6-37a0b-9e73-53574-b33d24fc25,AR,Other Services,Beauty Salons,2017.0,31200.0,19000.0,Limited Liability Company,1.0,South
fdc69c8c-53be-4ced-8e61-0f1f906401d2,IN,"Professional, Scientific and Technical Services",Computer Systems Design Services,2017.0,25000.0,0.0,Corporation,0.0,Midwest
d47eb3b7-b0f82-66cb-ca3d0-1b43cedd25,AL,Other Services,Security Guards and Patrol Services,2016.0,8000.0,15000.0,Individual,4.0,South
cdb64dc8-a1b87-c3db-f9a6e-1368d2ce89,MI,Consultants,Marketing Consulting Services,2017.0,20000.0,0.0,Limited Liability Company,0.0,Midwest
25e50ad1-29f51-54ea-533f0-7c9b13b431,TX,Other Services,Business Associations,2017.0,500000.0,0.0,Corporation,0.0,South
3a49f145-5fa9-4a9b-9cb4-d9200ba068ce,CA,Education,Exam Preparation and Tutoring,2009.0,70000.0,0.0,Limited Liability Company,0.0,West
00bfe2d7-203a9-3272-a9921-1a6d61ed2b,FL,Administrative Services and Building Maintenance,Janitorial Services,2017.0,10000.0,0.0,Individual,0.0,South
fa413b02-d0df-44b8-81fb-276892efd5bd,NJ,"Professional, Scientific and Technical Services",Tax Preparation Services,2018.0,175000.0,0.0,Individual,0.0,Northeast
af13c400-d12f-4c83-a804-5e5041429c48,MO,Transportation and Warehousing,"General Freight Trucking, Local",2017.0,125000.0,0.0,Corporation,0.0,Midwest
dfcc2441-07a7d-9c3a-5b884-60c1deba8f,PA,Consultants,Administrative Management and General Management Consulting Services,2014.0,60000.0,0.0,Limited Liability Company,0.0,Northeast
ce5cb06d-49d4-4efa-8a39-62bce80ebd75,OH,Food and Accommodation,Drinking Places (Alcoholic Beverages),2018.0,50000.0,0.0,Limited Liability Company,0.0,Midwest
a26a21c3-708b-4e0d-90d5-2365d2ed39df,FL,Other Services,Car Washes,2013.0,40000.0,0.0,Limited Liability Company,0.0,South
7d9030df-0d42e-9cc2-347b4-cd54555460,MD,Real Estate,Residential Property Managers,2002.0,45000.0,0.0,Limited Liability Company,0.0,South
51df29a6-014fc-6481-88018-42a65e1f74,AR,"Professional, Scientific and Technical Services",Surveying and Mapping (except Geophysical) Services,2016.0,150000.0,30000.0,Corporation,1.0,South
8ccc688e-168e4-bc23-2f9de-f5d13e8900,UT,Contractors,Drywall and Insulation Contractors,2017.0,60000.0,60000.0,Individual,0.0,West
86264739-69aa-4f06-8126-e7c36f86ba57,GA,Wholesale Trade,"Women's, Children's, and Infants' Clothing and Accessories Merchant Wholesalers",2017.0,100000.0,40000.0,Individual,4.0,South
cd62922a-00ee8-bea9-891c0-88971c211a,MO,Contractors,Framing Contractors,2017.0,15000.0,15000.0,Individual,0.0,Midwest
ddac415a-4aff4-3aa0-04d7f-764f069b12,TX,"Professional, Scientific and Technical Services",Custom Computer Programming Services,2017.0,1000000.0,300000.0,Corporation,5.0,South
c2bc9afe-17706-c710-ef37e-05e1f14e73,KY,Contractors,"Plumbing, Heating, and Air-Conditioning Contractors",2018.0,15000.0,0.0,Individual,0.0,South
7a513d54-ace20-dd1d-1af7a-10bf2f384c,FL,Other Services,Car Washes,1997.0,60000.0,1.0,Individual,0.0,South
994291e3-c2ef2-1028-cd9f0-9e35a1991a,LA,Retail Trade,Hardware Stores,1989.0,40000.0,0.0,Limited Liability Company,0.0,South
b2f8f9ce-cffd-49a3-a9b7-e809a4150f72,GA,Administrative Services and Building Maintenance,Other Services to Buildings and Dwellings,2018.0,19500.0,0.0,Individual,0.0,South
082a471f-58ecd-c253-473f8-b60260e924,CA,Manufacturing,Toilet Preparation Manufacturing,2015.0,80000.0,0.0,Limited Liability Company,0.0,West
0c5398fc-38f1-4606-a9ed-1644daa89e86,PA,Contractors,Residential Remodelers,1985.0,40000.0,40000.0,Individual,1.0,Northeast
d1ca41fe-16152-56c0-68b04-8ac77f6df8,AL,Manufacturing,Other Metal Container Manufacturing,2015.0,450000.0,150000.0,Corporation,4.0,South
6c64fe2c-99a7e-ec2d-7c792-064741a59f,MO,Manufacturing,Motor Vehicle Body Manufacturing,2017.0,100000.0,0.0,Limited Liability Company,0.0,Midwest
d2209b5e-59cf-4b35-aa38-cb3bd143a712,WA,Retail Trade,Fruit and Vegetable Markets,2018.0,6400.0,0.0,Individual,0.0,West
19a9dffe-f08a-49ad-b4cf-a1c33ef89fb9,NY,Other Services,Security Guards and Patrol Services,2010.0,500000.0,500000.0,Corporation,55.0,Northeast
aa1121ee-652ae-de99-b9b3a-6857f99939,FL,Administrative Services and Building Maintenance,Janitorial Services,2016.0,30000.0,0.0,Limited Liability Company,0.0,South
e8230f00-98a3-420b-9044-26fed3b55344,NY,Consultants,Administrative Management and General Management Consulting Services,2018.0,360000.0,0.0,Corporation,0.0,Northeast
fb40ef2a-c344-4c6c-9ab1-5599e42cd32a,GA,Administrative Services and Building Maintenance,Janitorial Services,1999.0,210000.0,28000.0,Limited Liability Company,1.0,South
adf8f5f4-020dd-866a-d0dc0-917276b21e,GA,Contractors,Tile and Terrazzo Contractors,2002.0,60000.0,60000.0,Individual,0.0,South
882134ab-e457-4f94-af3d-48f4ff7d931e,MI,Administrative Services and Building Maintenance,Janitorial Services,2017.0,120000.0,50000.0,Limited Liability Company,3.0,Midwest
e71269d7-acfd1-a3fb-14278-e54c7582e1,NC,Administrative Services and Building Maintenance,Janitorial Services,2008.0,244000.0,144000.0,Individual,8.0,South
4f72ff26-e3d82-98f3-82923-7136351933,FL,Food and Accommodation,Limited-Service Restaurants,2017.0,100000.0,49500.0,Corporation,3.0,South
9ff87dd9-66edd-826c-49079-0c1bb58420,TX,Unknown,Unknown,2017.0,10000.0,0.0,Individual,0.0,South
0125e887-e4758-a6bc-0bc1d-ee5640faad,AL,Construction,New Housing For-Sale Builders,2017.0,75000.0,15000.0,Individual,1.0,South
d48c9ccd-8c013-7518-9e730-f9b6435e2a,AL,Construction,Industrial Building Construction,2017.0,50000.0,25000.0,Limited Liability Company,3.0,South
2ca9ffdc-bd156-9ec7-bf5fb-2c18cab52a,TX,Food and Accommodation,Snack and Nonalcoholic Beverage Bars,2017.0,100000.0,0.0,Limited Liability Company,0.0,South
cd13bf05-2c570-0d03-51f89-4240512562,NC,Other Services,Executive Search Services,2014.0,1000000.0,400000.0,Limited Liability Company,2.0,South
251af318-8def2-bb26-ed23a-7de5b0d5e5,CO,Retail Trade,Art Dealers,2017.0,120000.0,0.0,Individual,1.0,West
042bc818-e0bd1-d367-111c4-f1eeb8e649,AL,Retail Trade,Furniture Stores,2017.0,36000.0,0.0,Limited Liability Company,0.0,South
9c6aae1e-58c3f-d9e5-8771a-8035b19330,FL,Contractors,Residential Remodelers,2017.0,25000.0,25000.0,Limited Liability Company,0.0,South
e25fc66e-efed8-5968-aa912-5b2c60e855,UT,Contractors,Framing Contractors,2017.0,100000.0,0.0,Corporation,0.0,West
55a998ed-54e91-5d84-6ed45-dfc75a84c9,FL,Food and Accommodation,Limited-Service Restaurants,2007.0,12000.0,0.0,Individual,0.0,South
0e3f08d1-569c3-dab2-b9ef6-0ebef10c5e,PA,Finance and Insurance,Insurance Agencies and Brokerages,2017.0,20000.0,0.0,Individual,0.0,Northeast
a90a0de8-2da2e-7fcd-6de7d-39cf760f38,SC,Retail Trade,All Other Home Furnishings Stores,2017.0,75000.0,25000.0,Corporation,1.0,South
3630957b-1f64-4eb2-b7e2-57a836d4df5e,IL,Food and Accommodation,Caterers,2018.0,50000.0,0.0,Individual,0.0,Midwest
0b8c1f2e-0ad68-5ffc-3cbbe-1b0d409b6f,AR,Consultants,Administrative Management and General Management Consulting Services,2003.0,37500.0,0.0,Individual,0.0,South
1f890bf4-4da5-45b9-960d-619022365078,MO,Contractors,All Other Specialty Trade Contractors,2011.0,350000.0,65000.0,Limited Liability Company,2.0,Midwest
8adfc508-13997-475d-6a1fe-4f2e99e11f,MI,Other Services,Investigation Services,2017.0,20000.0,0.0,Individual,0.0,Midwest
63340b98-d6c26-df43-49e9f-909e2bd709,NY,"Professional, Scientific and Technical Services",Custom Computer Programming Services,2015.0,100000.0,800000.0,Corporation,12.0,Northeast
ddfedf79-ddf0-4f04-80f7-7acf73afc016,OH,"Professional, Scientific and Technical Services",Tax Preparation Services,2017.0,70000.0,0.0,Limited Liability Company,0.0,Midwest
f5a099c1-d82c0-491c-32bf2-0dd91368f3,VA,Other Services,Nail Salons,2017.0,60000.0,40000.0,Limited Liability Company,1.0,South
b4a130ad-7ad9-455a-b47e-7a20bbc33b47,CO,Contractors,Tile and Terrazzo Contractors,2018.0,30000.0,3000.0,Limited Liability Company,0.0,West
c9f7e3f8-58398-0fac-299ea-5380333019,GA,Consultants,"Process, Physical Distribution, and Logistics Consulting Services",2018.0,150000.0,0.0,Limited Liability Company,0.0,South
a4748535-f227d-9ae9-9a2e3-3e5104e3df,CA,Contractors,Drywall and Insulation Contractors,2017.0,55000.0,40000.0,Individual,0.0,West
16939488-2fbca-3637-ba097-82a5fd2138,IN,Administrative Services and Building Maintenance,Janitorial Services,2017.0,10000.0,1000.0,Limited Liability Company,1.0,Midwest
f28e7df0-56297-bac5-e66fb-55447e93df,NJ,Retail Trade,Landscaping Services,2011.0,300000.0,0.0,Limited Liability Company,0.0,Northeast
1b6d5583-5f67-4d17-a0f7-215dafc9ac51,AL,Unknown,Unknown,2017.0,20000.0,0.0,Limited Liability Company,0.0,South
16dcabf5-6e47-4c7e-b955-c8c811d670f6,CA,Other Services,All Other Personal Services,2018.0,10000.0,0.0,Limited Liability Company,0.0,West
eb01fa59-edf1a-3b39-62065-291782e4ee,OH,Consultants,Administrative Management and General Management Consulting Services,2005.0,50000.0,0.0,Limited Liability Company,0.0,Midwest
7fa37f65-903f9-cebd-7aacf-5fef7ff471,MI,Finance and Insurance,Insurance Agencies and Brokerages,2017.0,50000.0,50000.0,Individual,0.0,Midwest
906041c1-509a-4fc6-8c82-16de60d75587,NY,Real Estate,Other Activities Related to Real Estate,2018.0,35000.0,0.0,Corporation,0.0,Northeast
d1469734-4be57-0097-952b6-2364191de7,AZ,Other Services,Other Personal and Household Goods Repair and Maintenance,2017.0,100000.0,0.0,Limited Liability Company,0.0,West
18100a36-933cc-c70e-030a7-2b58a5a8f1,OH,"Professional, Scientific and Technical Services",Computer Systems Design Services,2017.0,500000.0,0.0,Corporation,0.0,Midwest
b9b8ba0c-80558-b5a8-bc278-a7964cd682,GA,Wholesale Trade,"Women's, Children's, and Infants' Clothing and Accessories Merchant Wholesalers",2008.0,250000.0,0.0,Corporation,0.0,South
dc2d1c1f-e80bf-c148-ef258-ce8ee1b4da,AL,Other Services,Employment Placement Agencies,2017.0,75000.0,0.0,Individual,0.0,South
6e3fe39e-044d-45c6-a923-3edf87355be2,IL,"Technology, Media and Telecommunications",Sound Recording Studios,2018.0,40000.0,0.0,Limited Liability Company,0.0,Midwest
09a7473a-2cc88-6748-ed87d-a2a94f0c4f,CA,Contractors,Finish Carpentry Contractors,2016.0,300000.0,0.0,Corporation,1.0,West
f00163a4-35a9a-f5a0-02aaa-9f7c43cea2,IL,Contractors,Painting and Wall Covering Contractors,2017.0,15000.0,0.0,Individual,0.0,Midwest
f0979a9c-238d2-fb79-962ed-6e95888ab7,NC,Manufacturing,Cane Sugar Manufacturing,2017.0,70000.0,10000.0,Limited Liability Company,2.0,South
76d1042d-981e9-2f1e-c273c-6d3f457e2c,MS,Real Estate,Offices of Real Estate Agents and Brokers,2016.0,20000.0,14400.0,Limited Liability Company,1.0,South
8fe6aa46-87493-b222-30c68-ae7806fc12,NY,Administrative Services and Building Maintenance,Janitorial Services,2017.0,20000.0,0.0,Corporation,0.0,Northeast
34520062-ff9e5-dafa-7b83c-7c83b878e3,UT,Retail Trade,Landscaping Services,2017.0,100000.0,0.0,Limited Liability Company,0.0,West
7ad4aca4-f2c09-b350-0e343-b9644f1120,WI,Administrative Services and Building Maintenance,Other Services to Buildings and Dwellings,2017.0,10000.0,5000.0,Limited Liability Company,0.0,Midwest
ac7a3ee1-e4c59-be34-b1288-5eccedf663,GA,Contractors,Flooring Contractors,2017.0,50000.0,10000.0,Individual,1.0,South
2610f29d-009e5-f94d-c7d45-dfb42e3b1d,WI,Manufacturing,Dog and Cat Food Manufacturing,2017.0,150000.0,0.0,Limited Liability Company,0.0,Midwest
7f838676-cf864-c70d-5a1f4-f04db7ef63,FL,Unknown,Unknown,2016.0,120000.0,6000.0,Limited Liability Company,1.0,South
9de37dc7-94010-4862-5ae54-d93085acef,TX,Consultants,Human Resources Consulting Services,2002.0,380000.0,200000.0,Corporation,1.0,South
74f6ae44-ace9-47f1-a338-b543f771d82e,DE,Other Services,Nail Salons,2004.0,10000.0,9600.0,Limited Liability Company,3.0,South
0f37710d-0801-48f4-bd0a-a82295d214de,NC,Contractors,Residential Remodelers,1978.0,30000.0,0.0,Individual,0.0,South
0ad51418-366d3-7a2c-c85ad-e3f77a08d6,WI,Food and Accommodation,Limited-Service Restaurants,2015.0,300000.0,50000.0,Corporation,3.0,Midwest
98e1aa69-e875-4482-9f80-c0dc743025c3,CA,Other Services,All Other Personal Services,2018.0,30000.0,0.0,Limited Liability Company,0.0,West
2a45b65a-6f95e-3ef5-961df-79f785dcd6,PA,Contractors,Roofing Contractors,2017.0,120000.0,0.0,Limited Liability Company,0.0,Northeast
ede45838-c704f-bacc-adcad-2651075ba0,LA,Contractors,Residential Remodelers,2017.0,5000.0,0.0,Individual,0.0,South
07ad9780-8f96f-2e6a-75d99-6658740b0e,NJ,"Technology, Media and Telecommunications",Motion Picture and Video Production,2017.0,0.0,6000.0,Individual,1.0,Northeast
911be7c8-bb464-b22f-bdf48-7c297f6bad,IN,Retail Trade,Electronic Shopping,2017.0,60000.0,20000.0,Limited Liability Company,0.0,Midwest
5921e6a6-c1963-1135-510c8-beb39c734b,OK,Administrative Services and Building Maintenance,Janitorial Services,2005.0,28000.0,0.0,Individual,0.0,South
eafa9788-01ede-e804-de2f5-a6712d7973,MA,Other Services,Pet Care (except Veterinary) Services,2017.0,60000.0,0.0,Individual,0.0,Northeast
6ffe2a9a-51c0-4b90-9d57-178fe670df53,FL,Real Estate,Offices of Real Estate Agents and Brokers,2017.0,80000.0,0.0,Corporation,0.0,South
0126568e-60e0f-4b0c-acf08-189816cf4a,GA,Finance and Insurance,Insurance Agencies and Brokerages,2017.0,50000.0,12000.0,Limited Liability Company,1.0,South
f957d380-a6be1-6480-7cc54-aa87eadfa5,FL,Unknown,Unknown,2017.0,250000.0,50000.0,Limited Liability Company,1.0,South
e31b8c0c-4293-4ede-b572-ce72d72f5673,NY,"Technology, Media and Telecommunications",Wireless Telecommunications Carriers (except Satellite),2016.0,50000.0,200000.0,Corporation,2.0,Northeast
a4c8164f-2f20-4aa6-b3ec-54f2d93c69e8,IL,Retail Trade,Vending Machine Operators,2018.0,10800.0,0.0,Individual,0.0,Midwest
95ed8646-e7d76-805b-47963-134f753b57,WI,Contractors,Painting and Wall Covering Contractors,2016.0,100000.0,0.0,Individual,0.0,Midwest
3720d1cb-d18b1-196f-29ef1-cf72033168,FL,Contractors,Glass and Glazing Contractors,2017.0,50000.0,0.0,Limited Liability Company,0.0,South
322ccd5b-65a6b-c3e1-cc1d5-fed4b6db69,TX,Real Estate,Lessors of Nonresidential Buildings (except Miniwarehouses),2017.0,197000.0,0.0,Limited Liability Company,0.0,South
11af9a76-55c5-480c-a6b0-62cbf45eff48,VA,Other Services,"Automotive Body, Paint, and Interior Repair and Maintenance",2018.0,60000.0,0.0,Limited Liability Company,0.0,South
176aaadc-277fa-8781-85045-54518f59f6,FL,Contractors,Residential Remodelers,2017.0,25000.0,0.0,Limited Liability Company,0.0,South
ac0880ba-5041-4172-aaa5-950281e95b0c,NY,Consultants,Human Resources Consulting Services,2015.0,70000.0,0.0,Corporation,0.0,Northeast
3c3c47e9-61898-68ae-0a2aa-70d5cb2df8,ME,Real Estate,Residential Property Managers,2017.0,35000.0,0.0,Limited Liability Company,0.0,Northeast
ef72b79f-61a2-4989-929b-725919b547d5,NY,"Sports, Arts, Entertainment, and Recreation",Theater Companies and Dinner Theaters,2018.0,30000.0,0.0,Limited Liability Company,0.0,Northeast
124af1a7-3397-4d3c-a759-ba99387a6e7b,NY,Consultants,Human Resources Consulting Services,2017.0,300000.0,80000.0,Corporation,1.0,Northeast
f82ddf04-fdffb-d398-825fd-0a981ede53,MO,Non Profits,Religious Organizations,1955.0,1000.0,0.0,Non-Profit,0.0,Midwest
70ff8ab6-45d0e-40fc-344f5-9721b76d08,MA,Unknown,Unknown,2017.0,50000.0,25000.0,Individual,1.0,Northeast
d80bcab4-b58bf-d9f8-cd96a-baccfffc2f,LA,Retail Trade,Landscaping Services,2017.0,5000.0,5000.0,Limited Liability Company,3.0,South
02de3547-84283-de86-ccd0c-26e918e263,NC,Food and Accommodation,Full-Service Restaurants,2017.0,300000.0,0.0,Limited Liability Company,0.0,South
c079d963-7c48-42d9-b2fe-1f98e1b7cd53,CA,"Sports, Arts, Entertainment, and Recreation","Promoters of Performing Arts, Sports, and Similar Events without Facilities",2012.0,100000.0,0.0,Limited Liability Company,0.0,West
37ab2689-228f2-4652-14b27-62a9790545,GA,"Professional, Scientific and Technical Services",Research and Development (other than Biotechnology),2017.0,459850.0,36000.0,Limited Liability Company,2.0,South
8538a440-2c18-4938-b692-92ce9b997215,NC,Food and Accommodation,Mobile Food Services,2018.0,27500.0,0.0,Individual,0.0,South
718a6172-0c685-c891-1925b-952c188447,VA,Food and Accommodation,Caterers,2017.0,70000.0,0.0,Individual,0.0,South
c8f65559-ee11d-5d57-2f5ce-c3b9e1c281,AZ,Food and Accommodation,Caterers,2017.0,35000.0,10000.0,Individual,0.0,West
a7d1f397-49f38-bc17-142ad-dedadae6ab,GA,"Sports, Arts, Entertainment, and Recreation","Independent Artists, Writers, and Performers",2017.0,100000.0,24000.0,Limited Liability Company,1.0,South
517aad13-faaa-4e39-b291-ebc92d66911d,IN,Contractors,Electrical Contractors and Other Wiring Installation Contractors,2018.0,150000.0,0.0,Partnership,0.0,Midwest
b1a34157-656d-44ce-bf7a-d131d6ff703d,MO,Administrative Services and Building Maintenance,Janitorial Services,2008.0,120000.0,0.0,Limited Liability Company,0.0,Midwest
a830d0d7-24b4d-3c6d-b7e97-56c72810b3,CA,Contractors,Residential Remodelers,2017.0,60000.0,0.0,Individual,0.0,West
2e1e6de9-ea10-499d-a3b8-9aa678b136a9,CA,Healthcare,Offices of Chiropractors,2007.0,100000.0,27000.0,Corporation,2.0,West
205021e4-d6fdc-647c-3325e-9927eff7a6,FL,Other Services,Civic and Social Organizations,2015.0,250000.0,25000.0,Non-Profit,3.0,South
872b5ae7-8b398-eaa5-e363f-08ab4760c7,GA,Wholesale Trade,Men's and Boys' Clothing and Furnishings Merchant Wholesalers,2016.0,800000.0,0.0,Corporation,0.0,South
4da0a64e-07ac7-b2f6-093ff-926ec57c62,MO,Other Services,"Automotive Body, Paint, and Interior Repair and Maintenance",2017.0,400000.0,60000.0,Limited Liability Company,0.0,Midwest
6a01f176-75a75-c942-058a9-06ae7cdba0,NJ,Transportation and Warehousing,"General Freight Trucking, Long-Distance, Truckload",2017.0,50000.0,0.0,Individual,0.0,Northeast
6119e426-2c0f9-2880-01b62-76e543bf7e,MA,Retail Trade,Electronic Shopping,2017.0,100000.0,34000.0,Corporation,2.0,Northeast
f5177fc4-4e1a-4a3e-b89f-4c5746dedea6,FL,Contractors,Electrical Contractors and Other Wiring Installation Contractors,2017.0,200000.0,144000.0,Limited Liability Company,4.0,South
eb8e79b0-e3d4-433e-b696-81be7be735fe,NH,Manufacturing,Toilet Preparation Manufacturing,2016.0,5000.0,0.0,Limited Liability Company,0.0,Northeast
489d01a2-58929-e540-7c80e-81bc705709,NY,Contractors,"Plumbing, Heating, and Air-Conditioning Contractors",1996.0,60000.0,30000.0,Individual,1.0,Northeast
3c9a4e15-d32d9-222f-9922f-ec6cca5457,FL,Food and Accommodation,Limited-Service Restaurants,2017.0,60000.0,0.0,Corporation,0.0,South
dbaa513e-4f49-4ed1-bec2-359318c02f21,FL,Contractors,Other Building Finishing Contractors,2018.0,40000.0,0.0,Corporation,0.0,South
da510e2a-2331-48c1-a20f-66145449d07c,ID,Other Services,Beauty Salons,2018.0,30000.0,0.0,Limited Liability Company,0.0,West
1f27ba24-e3d39-fbb9-8991c-2ab4e13141,FL,Unknown,Unknown,2013.0,0.0,0.0,Limited Liability Company,4.0,South
6ad8ca7d-52c00-39f9-29a53-745c65ef75,NC,Healthcare,Assisted Living Facilities for the Elderly,2007.0,170000.0,170000.0,Individual,1.0,South
341f9216-f137d-d4c1-58dcd-1215a97a8a,AR,Healthcare,Other Individual and Family Services,2017.0,330000.0,0.0,Corporation,0.0,South
e422c0f0-7d0bc-c036-32604-1cb054d5d5,CA,Real Estate,Lessors of Nonresidential Buildings (except Miniwarehouses),2017.0,0.0,0.0,Individual,0.0,West
99ab24aa-0b75-492d-a00a-c1e9756c17bd,NY,"Technology, Media and Telecommunications",Motion Picture and Video Production,2011.0,22000.0,0.0,Limited Liability Company,0.0,Northeast
98e255d2-fdf6-4132-88cd-f0fd04c67eef,FL,Other Services,All Other Automotive Repair and Maintenance,2004.0,120000.0,1.0,Individual,1.0,South
ef9731dc-44b1-49e8-9a30-558c4bfac1c2,CA,Food and Accommodation,Caterers,2018.0,10000.0,0.0,Limited Liability Company,0.0,West
f2c6f7f8-c8cd0-c5d7-74c8a-ac5a3329a1,CO,Retail Trade,Sporting Goods Stores,2017.0,75000.0,25000.0,Limited Liability Company,1.0,West
7b091cae-0e7d7-9513-b1d21-a90931cbb4,AL,Real Estate,Lessors of Nonfinancial Intangible Assets (except Copyrighted Works),2010.0,100000.0,0.0,Corporation,0.0,South
faf8bf97-b21bb-6ce6-3f403-4bed4b97ae,IL,Manufacturing,"Manufacturing of Measurement Devices, Displays, and Controls",1967.0,60000.0,25000.0,Corporation,0.0,Midwest
02ecc78e-fdb8-40eb-8094-39947532b0a8,IL,Retail Trade,Women's Clothing Stores,2018.0,45000.0,10000.0,Individual,1.0,Midwest
0e2f6d60-993e5-28cc-8c56e-22e2069278,NY,Finance and Insurance,Insurance Agencies and Brokerages,2017.0,1000000.0,200000.0,Limited Liability Company,2.0,Northeast
85d18a89-babdd-08fb-08bb5-0f696542af,CO,Administrative Services and Building Maintenance,Janitorial Services,2017.0,12000.0,0.0,Limited Liability Company,0.0,West
709eedaa-e284d-4b94-bf460-984ffa8b89,AZ,Manufacturing,MenĂs and BoysĂ Cut and Sew Apparel Manufacturing,2013.0,800000.0,0.0,Limited Liability Company,0.0,West
245473bc-aa3ef-ac92-73cec-c9345f58c1,IL,Retail Trade,"Cosmetics, Beauty Supplies, and Perfume Stores",2015.0,65000.0,0.0,Individual,0.0,Midwest
e110459d-466d-4d1c-937f-f2ec8a9bea92,MT,Retail Trade,Food (Health) Supplement Stores,2017.0,70000.0,0.0,Limited Liability Company,0.0,West
7812d5f2-3159-4b1f-a050-718628b7117e,OH,"Sports, Arts, Entertainment, and Recreation",Fitness and Recreational Sports Centers,2017.0,100000.0,0.0,Limited Liability Company,0.0,Midwest
eddcdd4c-8cc5-41ad-86a7-61c6262b795a,WA,"Professional, Scientific and Technical Services",Engineering Services,2000.0,912000.0,500000.0,Corporation,10.0,West
14a37b2b-865c-48aa-a1a4-8ec279cd0f46,WV,Contractors,Electrical Contractors and Other Wiring Installation Contractors,1976.0,150000.0,0.0,Individual,0.0,South
ebdad4be-f9b1-4ab3-a0dc-e57931c082c6,NY,Consultants,Human Resources Consulting Services,2015.0,50000.0,0.0,Limited Liability Company,0.0,Northeast
6dde7389-dd587-5eee-71119-e0974582b7,WI,Healthcare,Other Individual and Family Services,2017.0,20000.0,0.0,Limited Liability Company,0.0,Midwest
78ce5224-3c3d-4270-bfb2-a4464f4feedf,MD,Administrative Services and Building Maintenance,Janitorial Services,2018.0,20000.0,0.0,Limited Liability Company,0.0,South
3e1cb892-3b2b9-ad24-fd4a3-043908fde9,MI,Other Services,Nail Salons,2010.0,200000.0,100000.0,Limited Liability Company,4.0,Midwest
f96d978a-c1ca9-2a00-47084-af9791face,TX,"Professional, Scientific and Technical Services",Engineering Services,2016.0,150000.0,60000.0,Individual,0.0,South
133d56f6-efe4c-8dc5-3c617-ed9189b6f2,NJ,Retail Trade,"Beer, Wine, and Liquor Stores",2017.0,500000.0,35000.0,Corporation,1.0,Northeast
6e930540-fcdb-4690-a878-ad11620481f5,MO,Contractors,Residential Remodelers,2018.0,35000.0,28000.0,Individual,1.0,Midwest
88d6e4b6-773b-4d62-acb7-5201aed1675b,MO,Contractors,Finish Carpentry Contractors,2018.0,50000.0,0.0,Individual,0.0,Midwest
d5d601a0-0ec6c-4c0b-730be-ce7c5eb846,CA,Contractors,Electrical Contractors and Other Wiring Installation Contractors,2014.0,300000.0,0.0,Corporation,0.0,West
073f2021-a8f8-4412-8a98-b2ca6598b116,TN,Consultants,Marketing Consulting Services,2018.0,30000.0,0.0,Limited Liability Company,0.0,South
